Parent_Material_Num,Doc_Num
500313000529,9490006724Z
500313000529,9490006764Z
500313000530,9200011337Z
500313000530,9200011338Z
500313000530,9200011336Z
500313000530,9030001932Z
500313000530,9030001931Z
500313000530,9510000865Z
500313000530,9490006726Z
500313000530,9490006766Z
500313000531,9200011337Z
500313000531,9200011338Z
500313000531,9200011336Z
500313000531,9030001932Z
500313000531,9030001931Z
500313000531,9510000865Z
500313000531,9490006736Z
500313000531,9490006776Z
500313000532,9200011337Z
500313000532,9200011338Z
500313000532,9200011336Z
500313000532,9030001932Z
500313000532,9030001931Z
500313000532,9510000865Z
500313000532,9490006739Z
500313000532,9490006779Z
500313000533,9200011337Z
500313000533,9200011338Z
500313000533,9200011336Z
500313000533,9030001932Z
500313000533,9030001931Z
500313000533,9510000865Z
500313000533,9490006733Z
500313000533,9490006773Z
500313000534,9200011337Z
500313000534,9200011338Z
500313000534,9200011336Z
500313000534,9030001932Z
500313000534,9030001931Z
500313000534,9510000865Z
500313000534,9490006719Z
500313000534,9490006759Z
500313000535,9200011337Z
500313000535,9200011338Z
500313000535,9200011336Z
500313000535,9030001932Z
500313000535,9030001931Z
500313000535,9510000865Z
500313000535,9490006728Z
500313000535,9490006768Z
500313000536,9200011337Z
500313000536,9200011338Z
500313000536,9200011336Z
500313000536,9030001932Z
500313000536,9030001931Z
500313000536,9510000865Z
500313000536,9490006729Z
500313000536,9490006769Z
500313000537,9200011337Z
500313000537,9200011338Z
500313000537,9200011336Z
500313000537,9030001932Z
500313000537,9030001931Z
500313000537,9510000865Z
500313000537,9490006732Z
500313000537,9490006772Z
500313000538,9200011337Z
500313000538,9200011338Z
500313000538,9200011336Z
500313000538,9030001932Z
500313000538,9030001931Z
500313000538,9510000865Z
500313000538,9490006723Z
500313000538,9490006763Z
500313000539,9200011337Z
500313000539,9200011338Z
500313000539,9200011336Z
500313000539,9030001932Z
500313000539,9030001931Z
500313000539,9510000865Z
500313000539,9490006718Z
500313000539,9490006758Z
500313000540,9200011337Z
500313000540,9200011338Z
500313000540,9200011336Z
500313000540,9030001932Z
500313000540,9030001931Z
500313000540,9510000865Z
500313000540,9490006734Z
500313000540,9490006774Z
500313000541,9200011337Z
500313000541,9200011338Z
500313000541,9200011336Z
500313000541,9030001932Z
500313000541,9030001931Z
500313000541,9510000865Z
500313000541,9490006722Z
500313000541,9490006762Z
500313000542,9200011337Z
500313000542,9200011338Z
500313000542,9200011336Z
500313000542,9030001932Z
500313000542,9030001931Z
500313000542,9510000865Z
500313000542,9490006740Z
500313000542,9490006780Z
500313000543,9200011337Z
500313000543,9200011338Z
500313000543,9200011336Z
500313000543,9030001932Z
500313000543,9030001931Z
500313000543,9510000865Z
500313000543,9490006720Z
500313000543,9490006760Z
500313000544,9200011337Z
500313000544,9200011338Z
500313000544,9200011336Z
500313000544,9030001932Z
500313000544,9030001931Z
500313000544,9510000865Z
500313000544,9490006745Z
500313000544,9490006785Z
500313000545,9200011337Z
500313000545,9200011338Z
500313000545,9200011336Z
500313000545,9030001932Z
500313000545,9030001931Z
500313000545,9510000865Z
500313000545,9490006744Z
500313000545,9490006784Z
500313000546,9200011337Z
500313000546,9200011338Z
500313000546,9200011336Z
500313000546,9030001932Z
500313000546,9030001931Z
500313000546,9510000865Z
500313000546,9490006752Z
500313000546,9490006792Z
500313000547,9200011337Z
500313000547,9200011338Z
500313000547,9200011336Z
500313000547,9030001932Z
500313000547,9030001931Z
500313000547,9510000865Z
500313000547,9490006757Z
500313000547,9490006797Z
500313000548,9200011337Z
500313000548,9200011338Z
500313000548,9200011336Z
500313000548,9030001932Z
500313000548,9030001931Z
500313000548,9510000865Z
500313000548,9490006748Z
500313000548,9490006788Z
500313000549,9200011337Z
500313000549,9200011338Z
500313000549,9200011336Z
500313000549,9030001932Z
500313000549,9030001931Z
500313000549,9510000865Z
500313000549,9490006756Z
500313000549,9490006796Z
500313000550,9200011337Z
500313000550,9200011338Z
500313000550,9200011336Z
500313000550,9030001932Z
500313000550,9030001931Z
500313000550,9510000865Z
500313000550,9490006753Z
500313000550,9490006793Z
500313000551,9200011337Z
500313000551,9200011338Z
500313000551,9200011336Z
500313000551,9030001932Z
500313000551,9030001931Z
500313000551,9510000865Z
500313000551,9490006754Z
500313000551,9490006794Z
500313000552,9200011337Z
500313000552,9200011338Z
500313000552,9200011336Z
500313000552,9030001932Z
500313000552,9030001931Z
500313000552,9510000865Z
500313000552,9490006751Z
500313000552,9490006791Z
500313000553,9200011337Z
500313000553,9200011338Z
500313000553,9200011336Z
500313000553,9030001932Z
500313000553,9030001931Z
500313000553,9510000865Z
500313000553,9490006755Z
500313000553,9490006795Z
500313000554,9200011337Z
500313000554,9200011338Z
500313000554,9200011336Z
500313000554,9030001932Z
500313000554,9030001931Z
500313000554,9510000865Z
500313000554,9490006749Z
500313000554,9490006789Z
500313000555,9200011337Z
500313000555,9200011338Z
500313000555,9200011336Z
500313000555,9030001932Z
500313000555,9030001931Z
500313000555,9510000865Z
500313000555,9490006750Z
500313000555,9490006790Z
500313000556,9200011337Z
500313000556,9200011338Z
500313000556,9200011336Z
500313000556,9030001932Z
500313000556,9030001931Z
500313000556,9510000865Z
500313000556,9490006742Z
500313000556,9490006782Z
500313000557,9200011337Z
500313000557,9200011338Z
500313000557,9200011336Z
500313000557,9030001932Z
500313000557,9030001931Z
500313000557,9510000865Z
500313000557,9490006741Z
500313000557,9490006781Z
500313000558,9200011337Z
500313000558,9200011338Z
500313000558,9200011336Z
500313000558,9030001932Z
500313000558,9030001931Z
500313000558,9510000865Z
500313000558,9490006743Z
500313000558,9490006783Z
500313000559,9200011337Z
500313000559,9200011338Z
500313000559,9200011336Z
500313000559,9030001932Z
500313000559,9030001931Z
500313000559,9510000865Z
500313000559,9490006746Z
500313000559,9490006786Z
