Parent_Material_Num,Doc_Num
341109003284,9400021774Z
341109003285,9390006423Z
341109003285,9400021774Z
341109003286,9390006423Z
341109003286,9400021774Z
341109003287,9390006423Z
341109003287,9400021774Z
341109003288,9390006423Z
341109003288,9400021774Z
341109003290,9390006423Z
341109003290,9400021774Z
341109003292,9400021774Z
341109003294,9400021774Z
341109003296,9400021774Z
341109003298,9400021774Z
341109003300,9400021774Z
341109003302,9400021774Z
341109003304,9400021774Z
341109003306,9400021774Z
341109003308,9400021774Z
341109003310,9400021774Z
400313000103,9030001931Z
400314000054,9030001932Z
400409000490,9070000881Z
400409000514,9070000892Z
400455000299,9510000863Z
400455000299,9030001915Z
400455000299,9490006451Z
400455000299,9040004798Z
400455000299,9040004799Z
400455000299,9050002449Z
400455000299,9040004979Z
400455000300,9510000863Z
400455000300,9030001915Z
400455000300,9490006452Z
400455000300,9040004798Z
400455000300,9040004799Z
400455000300,9050002449Z
400455000300,9040004979Z
400455000301,9510000863Z
400455000301,9030001915Z
400455000301,9490006453Z
400455000301,9040004798Z
400455000301,9040004799Z
400455000301,9050002449Z
400455000301,9040004979Z
400455000302,9510000863Z
400455000302,9030001915Z
400455000302,9490006454Z
400455000302,9040004798Z
400455000302,9040004799Z
400455000302,9050002449Z
400455000302,9040004979Z
400455000303,9510000863Z
400455000303,9030001915Z
400455000303,9490006455Z
400455000303,9040004798Z
400455000303,9040004799Z
400455000303,9050002449Z
400455000303,9040004979Z
400455000304,9510000863Z
400455000304,9030001915Z
400455000304,9490006456Z
400455000304,9040004798Z
400455000304,9040004799Z
400455000304,9050002449Z
400455000304,9040004979Z
400455000305,9510000863Z
400455000305,9030001915Z
400455000305,9490006457Z
400455000305,9040004798Z
400455000305,9040004799Z
400455000305,9050002449Z
400455000305,9040004979Z
400455000306,9510000863Z
400455000306,9030001915Z
400455000306,9490006458Z
400455000306,9040004798Z
400455000306,9040004799Z
400455000306,9050002449Z
400455000306,9040004979Z
400455000307,9510000863Z
400455000307,9030001915Z
400455000307,9490006459Z
400455000307,9040004798Z
400455000307,9040004799Z
400455000307,9050002449Z
400455000307,9040004979Z
400455000308,9510000863Z
400455000308,9030001915Z
400455000308,9490006460Z
400455000308,9040004798Z
400455000308,9040004799Z
400455000308,9050002449Z
400455000308,9040004979Z
400455000309,9510000863Z
400455000309,9030001915Z
400455000309,9490006461Z
400455000309,9040004798Z
400455000309,9040004799Z
400455000309,9050002449Z
400455000309,9040004979Z
400455000310,9510000863Z
400455000310,9030001915Z
400455000310,9490006462Z
400455000310,9040004798Z
400455000310,9040004799Z
400455000310,9050002449Z
400455000310,9040004979Z
400455000311,9510000863Z
400455000311,9030001915Z
400455000311,9490006463Z
400455000311,9040004798Z
400455000311,9040004799Z
400455000311,9050002449Z
400455000311,9040004979Z
400455000312,9510000863Z
400455000312,9030001915Z
400455000312,9490006464Z
400455000312,9040004798Z
400455000312,9040004799Z
400455000312,9050002449Z
400455000312,9040004979Z
400455000313,9510000863Z
400455000313,9030001915Z
400455000313,9490006465Z
400455000313,9040004798Z
400455000313,9040004799Z
400455000313,9050002449Z
400455000313,9040004979Z
400455000314,9510000863Z
400455000314,9030001915Z
400455000314,9490006466Z
400455000314,9040004798Z
400455000314,9040004799Z
400455000314,9050002449Z
400455000314,9040004979Z
400455000315,9510000863Z
400455000315,9030001915Z
400455000315,9490006467Z
400455000315,9040004798Z
400455000315,9040004799Z
400455000315,9050002449Z
400455000315,9040004979Z
400455000317,9510000863Z
400455000317,9030001915Z
400455000317,9490006469Z
400455000317,9040004798Z
400455000317,9040004799Z
400455000317,9050002449Z
400455000317,9040004979Z
400455000318,9510000863Z
400455000318,9030001915Z
400455000318,9490006470Z
400455000318,9040004798Z
400455000318,9040004799Z
400455000318,9050002449Z
400455000318,9040004979Z
400455000319,9510000863Z
400455000319,9030001915Z
400455000319,9490006471Z
400455000319,9040004798Z
400455000319,9040004799Z
400455000319,9050002449Z
400455000319,9040004979Z
400455000320,9510000863Z
400455000320,9030001915Z
400455000320,9490006472Z
400455000320,9040004798Z
400455000320,9040004799Z
400455000320,9050002449Z
400455000320,9040004979Z
400455000321,9510000863Z
400455000321,9030001915Z
400455000321,9490006480Z
400455000321,9040004798Z
400455000321,9040004799Z
400455000321,9050002449Z
400455000321,9040004979Z
400455000322,9510000863Z
400455000322,9030001915Z
400455000322,9490006473Z
400455000322,9040004798Z
400455000322,9040004799Z
400455000322,9050002449Z
400455000322,9040004979Z
400455000323,9510000863Z
400455000323,9030001915Z
400455000323,9490006474Z
400455000323,9040004798Z
400455000323,9040004799Z
400455000323,9050002449Z
400455000323,9040004979Z
400455000324,9510000863Z
400455000324,9030001915Z
400455000324,9490006475Z
400455000324,9040004798Z
400455000324,9040004799Z
400455000324,9050002449Z
400455000324,9040004979Z
400455000325,9510000863Z
400455000325,9030001915Z
400455000325,9490006476Z
400455000325,9040004798Z
400455000325,9040004799Z
400455000325,9050002449Z
400455000325,9040004979Z
400455000326,9510000863Z
400455000326,9030001915Z
400455000326,9490006477Z
400455000326,9040004798Z
400455000326,9040004799Z
400455000326,9050002449Z
400455000326,9040004979Z
400455000327,9510000863Z
400455000327,9030001915Z
400455000327,9490006478Z
400455000327,9040004798Z
400455000327,9040004799Z
400455000327,9050002449Z
400455000327,9040004979Z
400455000328,9510000863Z
400455000328,9030001915Z
400455000328,9490006479Z
400455000328,9040004798Z
400455000328,9040004799Z
400455000328,9050002449Z
400455000328,9040004979Z
500313000444,9200011286Z
500313000444,9490006146Z
500313000444,9690000021Z
500313000444,9060002713Z
500313000444,9040004639Z
500313000444,9200011323Z
500313000444,9200011324Z
500313000444,9040004640Z
500313000444,9200011322Z
500313000444,9510000863Z
500313000444,9030001915Z
500313000444,9490006451Z
500313000444,9030001901Z
500313000444,9490006416Z
500313000444,9510000836Z
500313000444,9050002430Z
500313000444,9060002597Z
500313000444,9060002615Z
500313000445,9200011286Z
500313000445,9490006147Z
500313000445,9690000021Z
500313000445,9060002713Z
500313000445,9040004639Z
500313000445,9200011323Z
500313000445,9200011324Z
500313000445,9040004640Z
500313000445,9200011322Z
500313000445,9510000863Z
500313000445,9030001915Z
500313000445,9490006452Z
500313000445,9030001901Z
500313000445,9490006417Z
500313000445,9510000836Z
500313000445,9050002430Z
500313000445,9060002597Z
500313000445,9060002615Z
500313000446,9200011286Z
500313000446,9630000871Z
500313000446,9490006031Z
500313000446,9690000021Z
500313000446,9060002713Z
500313000446,9040004639Z
500313000446,9200011323Z
500313000446,9200011324Z
500313000446,9630000894Z
500313000446,9630000895Z
500313000446,9040004640Z
500313000446,9200011322Z
500313000446,9510000863Z
500313000446,9030001915Z
500313000446,9490006453Z
500313000446,9030001901Z
500313000446,9490006418Z
500313000446,9510000836Z
500313000446,9050002430Z
500313000446,9060002597Z
500313000446,9060002615Z
500313000447,9200011286Z
500313000447,9490006148Z
500313000447,9690000021Z
500313000447,9060002713Z
500313000447,9040004639Z
500313000447,9200011323Z
500313000447,9200011324Z
500313000447,9040004640Z
500313000447,9200011322Z
500313000447,9510000863Z
500313000447,9030001915Z
500313000447,9490006454Z
500313000447,9030001901Z
500313000447,9490006419Z
500313000447,9510000836Z
500313000447,9050002430Z
500313000447,9060002597Z
500313000447,9060002615Z
500313000448,9200011286Z
500313000448,9490006149Z
500313000448,9690000021Z
500313000448,9060002713Z
500313000448,9040004639Z
500313000448,9200011323Z
500313000448,9200011324Z
500313000448,9040004640Z
500313000448,9200011322Z
500313000448,9510000863Z
500313000448,9030001915Z
500313000448,9490006455Z
500313000448,9030001901Z
500313000448,9490006420Z
500313000448,9510000836Z
500313000448,9050002430Z
500313000448,9060002597Z
500313000448,9060002615Z
500313000449,9200011286Z
500313000449,9490006150Z
500313000449,9690000021Z
500313000449,9060002713Z
500313000449,9040004639Z
500313000449,9200011323Z
500313000449,9200011324Z
500313000449,9040004640Z
500313000449,9200011322Z
500313000449,9510000863Z
500313000449,9030001915Z
500313000449,9490006456Z
500313000449,9030001901Z
500313000449,9490006421Z
500313000449,9510000836Z
500313000449,9050002430Z
500313000449,9060002597Z
500313000449,9060002615Z
500313000450,9200011286Z
500313000450,9490006152Z
500313000450,9690000021Z
500313000450,9060002713Z
500313000450,9040004639Z
500313000450,9200011323Z
500313000450,9200011324Z
500313000450,9040004640Z
500313000450,9200011322Z
500313000450,9510000863Z
500313000450,9030001915Z
500313000450,9490006457Z
500313000450,9030001901Z
500313000450,9490006422Z
500313000450,9510000836Z
500313000450,9050002430Z
500313000450,9060002597Z
500313000450,9060002615Z
500313000451,9200011286Z
500313000451,9490006153Z
500313000451,9690000021Z
500313000451,9060002713Z
500313000451,9040004639Z
500313000451,9200011323Z
500313000451,9200011324Z
500313000451,9040004640Z
500313000451,9200011322Z
500313000451,9510000863Z
500313000451,9030001915Z
500313000451,9490006458Z
500313000451,9030001901Z
500313000451,9490006423Z
500313000451,9510000836Z
500313000451,9050002430Z
500313000451,9060002597Z
500313000451,9060002615Z
500313000452,9200011286Z
500313000452,9490006154Z
500313000452,9690000021Z
500313000452,9060002713Z
500313000452,9040004639Z
500313000452,9200011323Z
500313000452,9200011324Z
500313000452,9630000893Z
500313000452,9630000897Z
500313000452,9040004640Z
500313000452,9200011322Z
500313000452,9510000863Z
500313000452,9030001915Z
500313000452,9490006459Z
500313000452,9030001901Z
500313000452,9490006424Z
500313000452,9510000836Z
500313000452,9050002430Z
500313000452,9060002597Z
500313000452,9060002615Z
500313000453,9200011286Z
500313000453,9490006138Z
500313000453,9690000021Z
500313000453,9060002713Z
500313000453,9040004639Z
500313000453,9200011323Z
500313000453,9200011324Z
500313000453,9040004640Z
500313000453,9200011322Z
500313000453,9510000863Z
500313000453,9030001915Z
500313000453,9490006460Z
500313000453,9030001901Z
500313000453,9490006425Z
500313000453,9510000836Z
500313000453,9050002430Z
500313000453,9060002597Z
500313000453,9060002615Z
500313000454,9200011286Z
500313000454,9490006155Z
500313000454,9690000021Z
500313000454,9060002713Z
500313000454,9040004639Z
500313000454,9200011323Z
500313000454,9200011324Z
500313000454,9040004640Z
500313000454,9200011322Z
500313000454,9510000863Z
500313000454,9030001915Z
500313000454,9490006461Z
500313000454,9030001901Z
500313000454,9490006426Z
500313000454,9510000836Z
500313000454,9050002430Z
500313000454,9060002597Z
500313000454,9060002615Z
500313000455,9200011286Z
500313000455,9490006156Z
500313000455,9690000021Z
500313000455,9060002713Z
500313000455,9040004639Z
500313000455,9200011323Z
500313000455,9200011324Z
500313000455,9040004640Z
500313000455,9200011322Z
500313000455,9510000863Z
500313000455,9030001915Z
500313000455,9490006462Z
500313000455,9030001901Z
500313000455,9490006427Z
500313000455,9510000836Z
500313000455,9050002430Z
500313000455,9060002597Z
500313000455,9060002615Z
500313000456,9200011286Z
500313000456,9490006157Z
500313000456,9690000021Z
500313000456,9060002713Z
500313000456,9040004639Z
500313000456,9200011323Z
500313000456,9200011324Z
500313000456,9040004640Z
500313000456,9200011322Z
500313000456,9510000863Z
500313000456,9030001915Z
500313000456,9490006463Z
500313000456,9030001901Z
500313000456,9490006428Z
500313000456,9510000836Z
500313000456,9050002430Z
500313000456,9060002597Z
500313000456,9060002615Z
500313000457,9200011286Z
500313000457,9490006158Z
500313000457,9690000021Z
500313000457,9060002713Z
500313000457,9040004639Z
500313000457,9200011323Z
500313000457,9200011324Z
500313000457,9040004640Z
500313000457,9200011322Z
500313000457,9510000863Z
500313000457,9030001915Z
500313000457,9490006464Z
500313000457,9030001901Z
500313000457,9490006429Z
500313000457,9510000836Z
500313000457,9050002430Z
500313000457,9060002597Z
500313000457,9060002615Z
500313000458,9200011286Z
500313000458,9490006140Z
500313000458,9690000021Z
500313000458,9060002713Z
500313000458,9040004639Z
500313000458,9200011323Z
500313000458,9200011324Z
500313000458,9040004640Z
500313000458,9200011322Z
500313000458,9510000863Z
500313000458,9030001915Z
500313000458,9490006465Z
500313000458,9030001901Z
500313000458,9490006430Z
500313000458,9510000836Z
500313000458,9050002430Z
500313000458,9060002597Z
500313000458,9060002615Z
500313000459,9200011286Z
500313000459,9490006159Z
500313000459,9690000021Z
500313000459,9060002713Z
500313000459,9040004639Z
500313000459,9200011323Z
500313000459,9200011324Z
500313000459,9040004640Z
500313000459,9200011322Z
500313000459,9510000863Z
500313000459,9030001915Z
500313000459,9490006466Z
500313000459,9030001901Z
500313000459,9490006431Z
500313000459,9510000836Z
500313000459,9050002430Z
500313000459,9060002597Z
500313000459,9060002615Z
500313000460,9200011286Z
500313000460,9490006160Z
500313000460,9690000021Z
500313000460,9060002713Z
500313000460,9040004639Z
500313000460,9200011323Z
500313000460,9200011324Z
500313000460,9040004640Z
500313000460,9200011322Z
500313000460,9510000863Z
500313000460,9030001915Z
500313000460,9490006467Z
500313000460,9030001901Z
500313000460,9490006432Z
500313000460,9510000836Z
500313000460,9050002430Z
500313000460,9060002597Z
500313000460,9060002615Z
500313000461,9200011286Z
500313000461,9490006161Z
500313000461,9690000021Z
500313000461,9060002713Z
500313000461,9040004639Z
500313000461,9200011323Z
500313000461,9200011324Z
500313000461,9040004640Z
500313000461,9200011322Z
500313000461,9510000863Z
500313000461,9030001915Z
500313000461,9490006468Z
500313000461,9030001901Z
500313000461,9490006433Z
500313000461,9510000836Z
500313000461,9050002430Z
500313000461,9060002597Z
500313000461,9060002615Z
500313000462,9200011286Z
500313000462,9490006162Z
500313000462,9690000021Z
500313000462,9060002713Z
500313000462,9040004639Z
500313000462,9200011323Z
500313000462,9200011324Z
500313000462,9040004640Z
500313000462,9200011322Z
500313000462,9510000863Z
500313000462,9030001915Z
500313000462,9490006469Z
500313000462,9030001901Z
500313000462,9490006434Z
500313000462,9510000836Z
500313000462,9050002430Z
500313000462,9060002597Z
500313000462,9060002615Z
500313000463,9200011286Z
500313000463,9490006163Z
500313000463,9690000021Z
500313000463,9060002713Z
500313000463,9040004639Z
500313000463,9200011323Z
500313000463,9200011324Z
500313000463,9040004640Z
500313000463,9200011322Z
500313000463,9510000863Z
500313000463,9030001915Z
500313000463,9490006470Z
500313000463,9030001901Z
500313000463,9490006435Z
500313000463,9510000836Z
500313000463,9050002430Z
500313000463,9060002597Z
500313000463,9060002615Z
500313000464,9200011286Z
500313000464,9490006164Z
500313000464,9690000021Z
500313000464,9060002713Z
500313000464,9040004639Z
500313000464,9200011323Z
500313000464,9200011324Z
500313000464,9040004640Z
500313000464,9200011322Z
500313000464,9510000863Z
500313000464,9030001915Z
500313000464,9490006471Z
500313000464,9030001901Z
500313000464,9490006436Z
500313000464,9510000836Z
500313000464,9050002430Z
500313000464,9060002597Z
500313000464,9060002615Z
500313000465,9200011286Z
500313000465,9490006165Z
500313000465,9690000021Z
500313000465,9060002713Z
500313000465,9040004639Z
500313000465,9200011323Z
500313000465,9200011324Z
500313000465,9040004640Z
500313000465,9200011322Z
500313000465,9510000863Z
500313000465,9030001915Z
500313000465,9490006472Z
500313000465,9030001901Z
500313000465,9490006437Z
500313000465,9510000836Z
500313000465,9050002430Z
500313000465,9060002597Z
500313000465,9060002615Z
500313000466,9200011286Z
500313000466,9490006166Z
500313000466,9690000021Z
500313000466,9060002713Z
500313000466,9040004639Z
500313000466,9200011323Z
500313000466,9200011324Z
500313000466,9040004640Z
500313000466,9200011322Z
500313000466,9510000863Z
500313000466,9030001915Z
500313000466,9490006480Z
500313000466,9030001901Z
500313000466,9490006438Z
500313000466,9510000836Z
500313000466,9050002430Z
500313000466,9060002597Z
