Parent_Material_Num,Child_Material_Num
500313000559,143203000935
500313000559,143203000990
500313000559,149101000207
500313000559,149105000848
500313000559,400409000514
500313000559,400430000173
500313000558,143203000935
500313000558,143203000990
500313000558,149101000207
500313000558,149105000848
500313000558,400409000514
500313000558,400430000170
500313000557,143203000935
500313000557,143203000990
500313000557,149101000207
500313000557,149105000848
500313000557,400409000514
500313000557,400430000168
500313000556,143203000935
500313000556,143203000990
500313000556,149101000207
500313000556,149105000848
500313000556,400409000514
500313000556,400430000169
500313000555,143203000935
500313000555,143203000990
500313000555,149101000207
500313000555,149105000848
500313000555,400409000514
500313000555,400430000177
500313000554,143203000935
500313000554,143203000990
500313000554,149101000207
500313000554,149105000848
500313000554,400409000514
500313000554,400430000176
500313000553,143203000935
500313000553,143203000990
500313000553,149101000207
500313000553,149105000848
500313000553,400409000514
500313000553,400430000182
500313000552,143203000935
500313000552,143203000990
500313000552,149101000207
500313000552,149105000848
500313000552,400409000514
500313000552,400430000178
500313000551,143203000935
500313000551,143203000990
500313000551,149101000207
500313000551,149105000848
500313000551,400409000514
500313000551,400430000181
500313000550,143203000935
500313000550,143203000990
500313000550,149101000207
500313000550,149105000848
500313000550,400409000514
500313000550,400430000180
500313000549,143203000935
500313000549,143203000990
500313000549,149101000207
500313000549,149105000848
500313000549,400409000514
500313000549,400430000183
500313000548,143203000935
500313000548,143203000990
500313000548,149101000207
500313000548,149105000848
500313000548,400409000514
500313000548,400430000175
500313000547,143203000935
500313000547,143203000990
500313000547,149101000207
500313000547,149105000848
500313000547,400409000514
500313000547,400430000184
500313000546,143203000935
500313000546,143203000990
500313000546,149101000207
500313000546,149105000848
500313000546,400409000514
500313000546,400430000179
500313000545,143203000935
500313000545,143203000990
500313000545,149101000207
500313000545,149105000848
500313000545,400409000514
500313000545,400430000171
500313000544,143203000935
500313000544,143203000990
500313000544,149101000207
500313000544,149105000848
500313000544,400409000514
500313000544,400430000172
500313000543,143203000935
500313000543,143203000990
500313000543,149101000207
500313000543,149105000848
500313000543,400409000514
500313000543,400430000147
500313000542,143203000935
500313000542,143203000990
500313000542,149101000207
500313000542,149105000848
500313000542,400409000514
500313000542,400430000167
500313000541,143203000935
500313000541,143203000990
500313000541,149101000207
500313000541,149105000848
500313000541,400409000514
500313000541,400430000149
500313000540,143203000935
500313000540,143203000990
500313000540,149101000207
500313000540,149105000848
500313000540,400409000514
500313000540,400430000161
500313000539,143203000935
500313000539,143203000990
500313000539,149101000207
500313000539,149105000848
500313000539,400409000514
500313000539,400430000145
500313000538,143203000935
500313000538,143203000990
500313000538,149101000207
500313000538,149105000848
500313000538,400409000514
500313000538,400430000150
500313000537,143203000935
500313000537,143203000990
500313000537,149101000207
500313000537,149105000848
500313000537,400409000514
500313000537,400430000159
500313000536,143203000935
500313000536,143203000990
500313000536,149101000207
500313000536,149105000848
